arg-id,x,y,probability,cluster-id
A185001345000000014_0,9.462178,1.6842335,1.0,4
A185001345000000014_1,7.186703,0.93270236,1.0,2
A185001345000000014_2,8.824809,2.0527155,1.0,4
A185001345000000015_0,5.7296185,-0.24599965,1.0,27
A185001345000000015_1,7.8149943,4.9371486,1.0,8
A185001345000000015_2,10.504696,6.422888,1.0,9
A185001345000000017_0,4.2943687,1.1546172,0.7948166594098269,18
A185001345000000018_0,10.082443,3.0049226,1.0,15
A185001345000000018_1,9.803577,2.9872503,1.0,15
A185001345000000018_2,6.3547726,4.2180543,1.0,7
A185001345000000019_0,7.252341,1.4095999,1.0,2
A185001345000000019_1,6.053426,0.22327045,1.0,10
A185001345000000019_2,8.972226,1.9758227,1.0,4
A185001345000000019_3,3.8494427,2.5551279,1.0,3
A185001345000000019_4,7.680088,1.9884903,1.0,2
A185001345000000019_5,4.1644526,2.59279,1.0,18
A185001345000000019_6,3.731129,2.719733,1.0,3
A185001345000000019_7,5.746645,1.3079675,1.0,5
A185001345000000020_0,4.924893,4.2173934,1.0,24
A185001345000000020_1,9.750321,2.1629665,1.0,4
A185001345000000020_2,4.4453187,2.0002067,1.0,18
A185001345000000022_0,6.173165,0.59043634,1.0,5
A185001345000000022_1,6.7255945,0.60401475,0.8980705963056667,5
A185001345000000022_2,6.1387744,0.57821375,1.0,5
A185001345000000022_3,4.1879153,1.741423,1.0,18
A185001345000000023_0,7.5836306,3.7062752,1.0,8
A185001345000000023_1,5.2409215,3.583287,1.0,24
A185001345000000023_2,6.990116,5.0416727,1.0,7
A185001345000000023_3,5.2376127,3.637102,1.0,24
A185001345000000023_4,9.303203,3.0820062,1.0,15
A185001345000000025_0,4.0881047,2.7964814,1.0,3
A185001345000000025_1,8.517456,0.20400105,1.0,23
A185001345000000025_2,7.6013675,3.997845,1.0,8
A185001345000000025_3,9.218699,4.3631554,1.0,1
A185001345000000025_4,4.713331,2.8476396,1.0,24
A185001345000000025_5,4.300227,2.7244716,1.0,18
A185001345000000026_0,8.750619,0.9819171,1.0,23
A185001345000000026_1,7.4404483,5.568927,1.0,0
A185001345000000026_2,8.574378,4.2435355,1.0,8
A185001345000000026_3,7.9392915,3.504554,1.0,8
A185001345000000026_4,6.3439674,1.9300138,1.0,5
A185001345000000027_0,9.373839,5.9151773,1.0,28
A185001345000000027_1,10.253293,6.5004244,1.0,9
A185001345000000027_2,4.1742797,1.6328484,1.0,18
A185001345000000028_0,9.648204,4.1241813,1.0,1
